green_initiative,employees,man_exp,foreign,fin_obst,,green_strategy,energy_tax,sector
Green,170,15,Foreign,Moderate obstcale,,Yes,No,Manufacturing
Green,87,5,Domestic,Minor obstcale,,Yes,No,Food
Green,81,16,Domestic,Major obstcale,,Yes,Yes,Food
Green,100,2,Domestic,No obstcale,,Yes,No,Food
Green,8,23,Domestic,Severe obstcale,,Yes,No,Wholesale
Green,14,15,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,5,15,Domestic,No obstcale,,Yes,No,Services
Green,15,4,Domestic,No obstcale,,Yes,No,Retail
Green,10,6,Domestic,No obstcale,,Yes,No,Construction
Green,200,8,Domestic,Minor obstcale,,Yes,Yes,Retail
Green,12,1,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,60,40,Domestic,Major obstcale,,Yes,No,Services
Green,95,40,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,208,10,Domestic,Severe obstcale,,Yes,Yes,Food
Green,10,13,Domestic,No obstcale,,Yes,No,Retail
Green,15,15,Foreign,No obstcale,,Yes,No,Retail
Green,5,3,Foreign,No obstcale,,Yes,No,Retail
Green,6,22,Domestic,No obstcale,,Yes,Yes,Services
Green,171,16,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,36,14,Domestic,No obstcale,,Yes,No,Food
Green,130,45,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,60,30,Domestic,No obstcale,,Yes,No,Manufacturing
Green,47,5,Domestic,Minor obstcale,,Yes,Yes,Wholesale
Green,5,8,Domestic,Severe obstcale,,Yes,Yes,Retail
Green,45,30,Foreign,Severe obstcale,,Yes,No,Food
Green,50,26,Domestic,Minor obstcale,,Yes,No,Food
Green,30,10,Domestic,No obstcale,,Yes,No,Retail
Green,35,6,Foreign,No obstcale,,Yes,Yes,Services
Green,36,24,Domestic,No obstcale,,Yes,No,Manufacturing
Green,220,20,Foreign,No obstcale,,Yes,No,Hotel and restaurants
Green,87,21,Domestic,No obstcale,,Yes,No,Services
Green,55,14,Foreign,Minor obstcale,,Yes,No,Food
Green,176,30,Domestic,No obstcale,,Yes,Yes,Food
Green,73,25,Domestic,Major obstcale,,Yes,No,Food
Green,31,16,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,6,20,Domestic,Moderate obstcale,,Yes,No,Food
Green,150,23,Domestic,No obstcale,,Yes,No,Food
Green,196,17,Foreign,No obstcale,,Yes,No,Food
Green,3,20,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,114,3,Foreign,No obstcale,,Yes,No,Manufacturing
Green,42,20,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,7,9,Domestic,Major obstcale,,Yes,No,Food
Green,7,12,Domestic,Moderate obstcale,,Yes,Yes,Food
Green,75,4,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,120,24,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,80,1,Domestic,No obstcale,,Yes,Yes,Manufacturing
Green,22,19,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,11,6,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,25,18,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,10,20,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,85,10,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,45,10,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,32,21,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,80,16,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,24,23,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,18,4,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,14,13,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,27,37,Domestic,No obstcale,,Yes,Yes,Construction
Green,80,18,Domestic,Major obstcale,,Yes,Yes,Construction
Green,115,11,Domestic,Major obstcale,,Yes,Yes,Retail
Green,50,20,Domestic,Major obstcale,,Yes,Yes,Retail
Green,14,17,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,60,9,Foreign,Moderate obstcale,,Yes,Yes,Manufacturing
Green,80,20,Foreign,Minor obstcale,,Yes,Yes,Hotel and restaurants
Green,15,15,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,10,9,Domestic,Minor obstcale,,Yes,Yes,Retail
Green,16,27,Domestic,Major obstcale,,Yes,Yes,Food
Green,5,7,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,109,40,Domestic,Major obstcale,,Yes,Yes,Wholesale
Green,11,20,Domestic,Severe obstcale,,Yes,Yes,Wholesale
Green,9,6,Domestic,No obstcale,,Yes,Yes,Hotel and restaurants
Green,54,10,Domestic,Major obstcale,,Yes,Yes,Hotel and restaurants
Green,11,5,Domestic,No obstcale,,Yes,Yes,Hotel and restaurants
Green,66,8,Domestic,Minor obstcale,,Yes,Yes,Hotel and restaurants
Green,28,24,Foreign,Moderate obstcale,,Yes,Yes,Hotel and restaurants
Green,24,6,Domestic,Major obstcale,,Yes,Yes,Garments
Green,63,8,Foreign,No obstcale,,Yes,Yes,Food
Green,110,38,Foreign,Moderate obstcale,,Yes,Yes,Manufacturing
Green,22,9,Domestic,Severe obstcale,,Yes,Yes,Manufacturing
Green,40,12,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,19,30,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,24,20,Domestic,Major obstcale,,Yes,Yes,Food
Green,220,20,Foreign,Minor obstcale,,Yes,Yes,Food
Green,6,36,Domestic,Severe obstcale,,Yes,Yes,Hotel and restaurants
Green,21,10,Domestic,Minor obstcale,,Yes,Yes,Retail
Green,7,9,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,30,21,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,35,16,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,30,16,Domestic,Major obstcale,,No,Yes,Retail
Green,5,19,Domestic,Moderate obstcale,,No,Yes,Retail
Green,35,3,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,25,10,Domestic,Major obstcale,,No,Yes,Retail
Green,12,22,Domestic,Major obstcale,,No,Yes,Hotel and restaurants
Green,5,18,Domestic,Major obstcale,,Yes,Yes,Retail
Green,100,5,Domestic,Moderate obstcale,,No,Yes,Retail
Green,40,12,Domestic,Moderate obstcale,,No,Yes,Wholesale
Green,27,13,Domestic,Moderate obstcale,,No,Yes,Food
Green,60,25,Domestic,Moderate obstcale,,No,Yes,Retail
Green,162,24,Domestic,Moderate obstcale,,No,Yes,Wholesale
Green,65,18,Domestic,Major obstcale,,Yes,Yes,Services
Green,70,22,Foreign,Minor obstcale,,No,Yes,Retail
Green,140,15,Domestic,Minor obstcale,,No,Yes,Wholesale
Green,80,2,Domestic,Minor obstcale,,No,Yes,Retail
Green,8,11,Domestic,Severe obstcale,,No,Yes,Construction
Green,15,11,Domestic,Major obstcale,,No,Yes,Construction
Green,9,18,Domestic,Severe obstcale,,No,Yes,Hotel and restaurants
Green,15,22,Domestic,Minor obstcale,,No,Yes,Construction
Green,12,25,Domestic,Moderate obstcale,,No,Yes,Construction
Green,13,21,Domestic,Moderate obstcale,,No,Yes,Hotel and restaurants
Green,43,9,Domestic,Moderate obstcale,,No,Yes,Construction
Green,210,16,Domestic,Minor obstcale,,No,Yes,Construction
Green,5,4,Domestic,Major obstcale,,No,Yes,Hotel and restaurants
Green,5,9,Domestic,Moderate obstcale,,No,Yes,Food
Green,17,10,Domestic,Major obstcale,,No,Yes,Construction
Green,5,9,Domestic,Moderate obstcale,,Yes,Yes,Services
Green,23,18,Domestic,Major obstcale,,No,Yes,Hotel and restaurants
Green,5,1,Domestic,Major obstcale,,No,Yes,Retail
Green,15,6,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,120,14,Domestic,Moderate obstcale,,No,Yes,Construction
Green,6,15,Domestic,Major obstcale,,No,Yes,Wholesale
Green,31,10,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,24,2,Domestic,Moderate obstcale,,No,Yes,Wholesale
Green,23,12,Domestic,Major obstcale,,No,Yes,Construction
Green,25,23,Domestic,Minor obstcale,,No,Yes,Services
Green,95,8,Domestic,No obstcale,,Yes,Yes,Hotel and restaurants
Green,200,10,Domestic,Moderate obstcale,,Yes,Yes,Services
Green,8,18,Domestic,Major obstcale,,No,Yes,Construction
Green,10,19,Domestic,Moderate obstcale,,No,Yes,Hotel and restaurants
Green,6,3,Domestic,Moderate obstcale,,No,No,Construction
Green,16,7,Domestic,Moderate obstcale,,No,Yes,Construction
Green,28,6,Domestic,Minor obstcale,,No,Yes,Hotel and restaurants
Green,14,40,Domestic,Major obstcale,,Yes,Yes,Food
Green,9,10,Domestic,Major obstcale,,No,Yes,Hotel and restaurants
Green,12,7,Domestic,Moderate obstcale,,Yes,Yes,Construction
Green,27,6,Domestic,Severe obstcale,,No,Yes,Construction
Green,65,7,Domestic,Major obstcale,,Yes,Yes,Construction
Green,219,7,Foreign,Moderate obstcale,,Yes,Yes,Services
Green,110,28,Domestic,Minor obstcale,,No,Yes,Construction
Green,49,39,Domestic,Moderate obstcale,,No,Yes,Construction
Green,68,32,Domestic,Major obstcale,,No,Yes,Services
Green,42,3,Domestic,Major obstcale,,Yes,Yes,Construction
Green,30,7,Domestic,Major obstcale,,Yes,Yes,Construction
Green,180,6,Foreign,Moderate obstcale,,Yes,Yes,Manufacturing
Green,5,10,Domestic,Minor obstcale,,No,Yes,Wholesale
Green,35,10,Domestic,Major obstcale,,No,No,Manufacturing
Green,87,35,Domestic,Moderate obstcale,,No,No,Food
Green,14,25,Domestic,Severe obstcale,,No,No,Wholesale
Green,80,40,Foreign,Minor obstcale,,Yes,Yes,Food
Green,40,10,Domestic,Minor obstcale,,No,Yes,Food
Green,78,24,Domestic,Minor obstcale,,No,Yes,Food
Green,90,10,Foreign,Moderate obstcale,,Yes,Yes,Food
Green,250,25,Domestic,No obstcale,,Yes,No,Retail
Green,156,35,Domestic,Major obstcale,,No,No,Food
Green,170,30,Domestic,No obstcale,,Yes,No,Food
Green,80,22,Domestic,Major obstcale,,No,Yes,Food
Green,9,65,Domestic,Moderate obstcale,,No,No,Food
Green,94,26,Domestic,Major obstcale,,No,No,Food
Green,6,40,Domestic,Major obstcale,,No,No,Food
Green,8,60,Domestic,Moderate obstcale,,No,No,Food
Green,8,13,Domestic,Minor obstcale,,No,Yes,Food
Green,7,30,Domestic,Moderate obstcale,,No,No,Food
Green,75,40,Domestic,No obstcale,,No,No,Retail
Green,28,38,Domestic,No obstcale,,No,No,Retail
Green,125,50,Domestic,Severe obstcale,,No,No,Food
Green,5,22,Domestic,No obstcale,,No,No,Retail
Green,25,20,Domestic,Moderate obstcale,,No,No,Retail
Green,190,18,Foreign,Minor obstcale,,Yes,Yes,Food
Green,25,50,Domestic,Minor obstcale,,No,Yes,Food
Green,25,40,Domestic,Minor obstcale,,No,No,Retail
Green,18,12,Domestic,No obstcale,,No,No,Food
Green,67,14,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,133,34,Domestic,Major obstcale,,No,No,Manufacturing
Green,38,15,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,57,22,Domestic,Major obstcale,,No,No,Manufacturing
Green,35,38,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,80,36,Domestic,Severe obstcale,,Yes,No,Manufacturing
Green,145,46,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,110,14,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,8,30,Domestic,Major obstcale,,No,No,Manufacturing
Green,30,26,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,9,10,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,70,50,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,160,50,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,17,20,Domestic,Severe obstcale,,No,No,Manufacturing
Green,60,20,Domestic,Major obstcale,,No,No,Manufacturing
Green,10,25,Domestic,Major obstcale,,No,No,Manufacturing
Green,80,26,Domestic,No obstcale,,No,No,Manufacturing
Green,9,15,Domestic,Major obstcale,,No,No,Garments
Green,14,15,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,5,20,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,25,27,Domestic,Minor obstcale,,No,No,Garments
Green,4,20,Domestic,Major obstcale,,No,No,Garments
Green,50,10,Domestic,Moderate obstcale,,No,No,Garments
Green,45,5,Domestic,Major obstcale,,No,No,Manufacturing
Green,80,36,Domestic,Minor obstcale,,Yes,Yes,Garments
Green,8,40,Domestic,Severe obstcale,,No,No,Garments
Green,124,3,Domestic,Major obstcale,,No,No,Garments
Green,140,45,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,23,45,Domestic,No obstcale,,No,No,Garments
Green,22,8,Domestic,No obstcale,,No,Yes,Garments
Green,225,35,Domestic,Minor obstcale,,No,Yes,Garments
Green,100,30,Domestic,Minor obstcale,,No,No,Garments
Green,250,20,Domestic,Moderate obstcale,,No,Yes,Garments
Green,25,20,Domestic,Severe obstcale,,No,No,Garments
Green,175,45,Domestic,Major obstcale,,No,No,Garments
Green,160,48,Domestic,Minor obstcale,,No,No,Garments
Green,160,30,Domestic,Major obstcale,,No,No,Garments
Green,134,20,Domestic,No obstcale,,No,Yes,Garments
Green,14,40,Domestic,Moderate obstcale,,Yes,Yes,Garments
Green,90,20,Domestic,Moderate obstcale,,Yes,Yes,Garments
Green,8,25,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,6,8,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,7,30,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,36,55,Domestic,Severe obstcale,,No,No,Manufacturing
Green,18,25,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,13,43,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,69,45,Domestic,Moderate obstcale,,No,No,Wholesale
Green,100,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,30,30,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,14,38,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,23,15,Domestic,No obstcale,,No,Yes,Manufacturing
Green,7,40,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,150,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,10,50,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,40,15,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,100,30,Domestic,Minor obstcale,,No,No,Manufacturing
Green,18,46,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,15,42,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,5,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,25,28,Domestic,Major obstcale,,No,No,Manufacturing
Green,9,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,8,26,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,8,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,40,50,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,31,15,Domestic,No obstcale,,No,No,Construction
Green,6,17,Domestic,Moderate obstcale,,No,Yes,Food
Green,50,5,Domestic,Major obstcale,,No,No,Manufacturing
Green,15,38,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,7,23,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,236,40,Domestic,Severe obstcale,,No,No,Manufacturing
Green,16,50,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,15,36,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,150,25,Domestic,No obstcale,,No,Yes,Services
Green,13,42,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,14,35,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,80,30,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,4,35,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,35,15,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,60,45,Domestic,Major obstcale,,No,No,Manufacturing
Green,48,26,Domestic,No obstcale,,Yes,Yes,Manufacturing
Green,200,20,Domestic,Minor obstcale,,No,No,Manufacturing
Green,135,23,Domestic,No obstcale,,No,No,Manufacturing
Green,22,25,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,35,45,Domestic,No obstcale,,No,No,Manufacturing
Green,23,30,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,20,40,Domestic,Moderate obstcale,,No,No,Wholesale
Green,173,15,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,240,30,Domestic,Minor obstcale,,No,No,Manufacturing
Green,65,20,Domestic,No obstcale,,No,No,Manufacturing
Green,57,19,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,173,40,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,5,40,Domestic,Minor obstcale,,Yes,Yes,Retail
Green,9,25,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,10,40,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,9,25,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,5,30,Domestic,Moderate obstcale,,Yes,Yes,Manufacturing
Green,9,40,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,5,10,Domestic,Moderate obstcale,,No,No,Retail
Green,5,42,Domestic,Minor obstcale,,No,Yes,Construction
Green,40,30,Domestic,Major obstcale,,Yes,Yes,Construction
Green,5,15,Domestic,Major obstcale,,No,Yes,Construction
Green,12,10,Domestic,Major obstcale,,Yes,No,Construction
Green,80,30,Domestic,Moderate obstcale,,No,No,Construction
Green,9,35,Domestic,Minor obstcale,,Yes,Yes,Services
Green,5,25,Domestic,Moderate obstcale,,No,Yes,Wholesale
Green,9,25,Domestic,Major obstcale,,Yes,Yes,Construction
Green,12,40,Domestic,No obstcale,,Yes,Yes,Retail
Green,25,40,Domestic,Minor obstcale,,Yes,Yes,Hotel and restaurants
Green,8,35,Domestic,Minor obstcale,,Yes,Yes,Food
Green,15,48,Domestic,No obstcale,,No,No,Wholesale
Green,50,30,Domestic,Minor obstcale,,Yes,Yes,Services
Green,65,20,Domestic,Minor obstcale,,Yes,Yes,Wholesale
Green,7,28,Domestic,Minor obstcale,,Yes,Yes,Wholesale
Green,25,20,Foreign,No obstcale,,Yes,Yes,Wholesale
Green,80,14,Domestic,Moderate obstcale,,No,No,Manufacturing
Green,5,10,Domestic,Major obstcale,,No,No,Manufacturing
Green,12,40,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,180,38,Domestic,Moderate obstcale,,No,No,Retail
Green,7,20,Domestic,Minor obstcale,,No,Yes,Retail
Green,75,15,Domestic,No obstcale,,No,No,Retail
Green,9,35,Domestic,No obstcale,,No,Yes,Retail
Green,5,20,Domestic,Moderate obstcale,,No,Yes,Retail
Green,5,50,Domestic,No obstcale,,No,Yes,Retail
Green,5,48,Domestic,Minor obstcale,,No,Yes,Retail
Green,4,22,Domestic,Minor obstcale,,No,No,Retail
Green,5,35,Domestic,Minor obstcale,,No,Yes,Retail
Green,155,20,Domestic,No obstcale,,No,No,Retail
Green,7,60,Domestic,No obstcale,,No,No,Retail
Green,75,10,Domestic,Minor obstcale,,No,No,Retail
Green,5,20,Domestic,Minor obstcale,,No,Yes,Retail
Green,7,40,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,6,40,Domestic,No obstcale,,No,Yes,Retail
Green,4,11,Domestic,Moderate obstcale,,No,Yes,Retail
Green,5,25,Domestic,Moderate obstcale,,No,Yes,Retail
Green,188,20,Domestic,Moderate obstcale,,No,Yes,Retail
Green,6,30,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,6,45,Domestic,Minor obstcale,,No,Yes,Retail
Green,13,24,Domestic,Moderate obstcale,,No,Yes,Retail
Green,8,15,Domestic,Moderate obstcale,,No,No,Retail
Green,14,18,Domestic,Severe obstcale,,No,No,Food
Green,67,22,Domestic,Moderate obstcale,,No,Yes,Retail
Green,17,20,Domestic,Major obstcale,,No,Yes,Retail
Green,9,55,Domestic,Minor obstcale,,No,Yes,Retail
Green,15,2,Foreign,Moderate obstcale,,Yes,Yes,Hotel and restaurants
Green,20,20,Domestic,Major obstcale,,No,Yes,Wholesale
Green,25,45,Domestic,Moderate obstcale,,Yes,Yes,Hotel and restaurants
Green,20,18,Domestic,Major obstcale,,No,No,Hotel and restaurants
Green,5,55,Domestic,Major obstcale,,No,Yes,Food
Green,9,40,Domestic,Moderate obstcale,,Yes,Yes,Services
Green,5,12,Domestic,Major obstcale,,No,No,Services
Green,8,40,Domestic,Minor obstcale,,Yes,Yes,Food
Green,6,25,Domestic,Major obstcale,,No,Yes,Food
Green,14,13,Domestic,No obstcale,,No,Yes,Manufacturing
Green,15,20,Foreign,Minor obstcale,,No,Yes,Manufacturing
Green,5,20,Domestic,Major obstcale,,Yes,Yes,Manufacturing
Green,10,25,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,15,30,Domestic,Moderate obstcale,,No,Yes,Manufacturing
Green,11,20,Domestic,Major obstcale,,No,Yes,Manufacturing
Green,9,40,Domestic,Minor obstcale,,No,Yes,Manufacturing
Green,8,30,Domestic,Moderate obstcale,,Yes,Yes,Wholesale
Green,10,40,Domestic,Major obstcale,,Yes,Yes,Construction
Green,8,22,Domestic,Major obstcale,,No,Yes,Construction
Green,5,50,Domestic,Minor obstcale,,No,Yes,Retail
Green,10,15,Domestic,Minor obstcale,,No,Yes,Retail
Green,6,15,Domestic,Minor obstcale,,No,Yes,Wholesale
Green,8,15,Domestic,Major obstcale,,No,Yes,Wholesale
Green,5,20,Domestic,Moderate obstcale,,Yes,Yes,Retail
Green,5,15,Domestic,Major obstcale,,Yes,Yes,Services
